# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemies.png	3	26	110
20	textures\misc.png	176	224	248
30	textures\tiles.png	255	128	192
40	textures\tiles2.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemies-3.png	255	255	255
70	textures\map1-1.png	156	252	240
90	textures\HUD.png	0	224	142
80	textures\black.png	255	255	255
100	textures\flower.png	0	255	255
110	textures\misc2.png	166	185	255
120	textures\new_mario_left.png	67	145	190
130	textures\new_mario_right.png	67	145	190
140	textures\special_item.png	0	183	239
150	textures\special_item.png	0	0	0


# id	left	top	right	bottom	texture_id
[SPRITES]
#Ghost
2014	395	40	411	56	0
2015	426	40	441	56	0
#Mario hàng 3
3001	5	80	21	96	0
3002	35	80	51	96	0
3003	66	80	80	95	0
3004	96	80	110	95	0
3005	125	80	141	95	0
3006	155	80	170	96	0
3007	185	80	200	96	0
3008	246	80	261	96	0
3009	276	80	291	96	0
3010	305	80	321	95	0
3011	336	80	350	95	0
3012	366	80	380	95	0
3013	395	80	411	96	0
3014	425	80	441	96	0
#Mario hàng 4
4001	7	124	19	137	0
4002	38	124	50	138	0
4003	66	120	80	135	0
4004	95	120	110	136	0
4005	126	120	139	136	0
4006	155	120	170	136	0
4007	186	120	200	136	0
4008	215	120	231	136	0
4009	246	120	260	136	0
4010	276	120	291	136	0
4011	307	120	320	136	0
4012	336	120	351	136	0
4013	366	120	380	135	0
4014	396	124	408	138	0
4015	427	124	439	137	0
#Mario hàng 5
5001	5	154	21	182	0
5002	35	155	54	181	0
5003	65	154	84	181	0
5004	93	154	112	181	0
5005	125	155	141	181	0
5006	155	154	171	181	0
5007	186	154	200	181	0
5008	215	154	231	181	0
5009	246	154	260	181	0
5010	275	154	291	181	0
5011	305	155	321	181	0
5012	334	154	353	181	0
5013	362	154	381	181	0
5014	392	155	411	181	0
5015	425	154	441	182	0
#Mario hàng 6
6001	5p	195	16	221	0
6002	33	195	52	221	0
6003	64	194	82	221	0
6004	93	195	112	221	0
6005	194	19	221	45	0
6006	153	94	172	121	0
6007	184	194	202	221	0
6008	215	194	231	221	0
6009	244	194	262	221	0
6010	274	194	293	221	0
6011	304	194	323	221	0
6012	334	195	353	221	0
6013	364	194	382	221	0
6014	394	195	413	221	0
6015	425	195	441	221	0
#Mario hàng 7
7001	6	239	20	257	0
7002	36	234	50	261	0
7003	66	234	80	261	0
7004	96	234	110	261	0
7005	125	235	141	261	0
7006	155	234	170	261	0
7007	186	234	200	261	0
7008	215	234	231	261	0
7009	246	234	260	261	0
7010	276	234	291	261	0
7011	305	235	321	261	0
7012	336	234	350	261	0
7013	366	234	380	261	0
7014	396	234	410	261	0
7015	426	239	440	257	0
#Mario hàng 8
8001	2	274	23	301	0
8002	35	275	51	301	0
8003	66	277	80	299	0
8004	95	275	111	300	0
8005	122	274	143	301	0
8006	155	274	171	301	0
8007	185	274	201	301	0
8008	215	274	231	301	0
8009	245	274	261	301	0
8010	275	274	291	301	0
8011	303	274	324	301	0
8012	335	275	351	300	0
8013	366	277	380	299	0
8014	395	275	411	301	0
8015	423	274	444	301	0
#Mario hàng 9
9001	3	315	22	341	0
9002	33	314	52	341	0
9003	65	314	81	341	0
9004	96	314	110	341	0
9005	125	315	141	341	0
9006	155	314	170	341	0
9007	214	317	232	338	0
9008	276	314	291	341	0
9009	305	315	321	341	0
9010	336	314	350	341	0
9011	365	314	381	341	0
9012	394	314	413	341	0
9013	424	315	443	341	0
#Mario hàng 10
10001	3	358	22	378	0
10002	32	358	53	378	0
10003	63	358	83	377	0
10004	93	357	113	378	0
10005	125	360	141	383	0
10006	155	358	171	382	0
10007	185	354	201	381	0
10008	245	354	261	381	0
10009	275	358	291	382	0
10010	305	360	321	383	0
10011	333	357	353	378	0
10012	363	358	383	377	0
10013	393	358	414	378	0
10014	424	358	443	378	0
#Mario hàng 11
11001	5	394	21	422	0
11002	35	395	54	421	0
11003	65	394	84	421	0
11004	93	394	112	421	0
11005	125	395	141	421	0
11006	155	394	171	421	0
11007	186	394	200	421	0
11008	215	394	231	421	0
11009	246	394	260	421	0
11010	275	394	291	421	0
11011	305	395	321	421	0
11012	334	394	353	421	0
11013	362	394	381	421	0
11014	392	395	411	421	0
11015	425	394	441	422	0
#Mario hàng 12
12001	5	435	21	461	0
12002	33	435	52	461	0
12003	64	434	82	461	0
12004	93	435	112	461	0
12005	123	434	142	461	0
12006	153	434	172	461	0
12007	184	434	202	461	0
12008	215	434	231	461	0
12009	244	434	262	461	0
12010	274	434	293	461	0
12011	304	434	323	461	0
12012	334	435	353	461	0
12013	364	434	382	461	0
12014	394	435	413	461	0
12015	425	435	441	461	0
#Mario hàng 13
13001	6	479	20	497	0
13002	36	474	50	501	0
13003	66	474	80	501	0
13004	96	474	110	501	0
13005	125	475	141	501	0
13006	155	474	170	501	0
13007	186	474	200	501	0
13008	215	474	231	501	0
13009	246	474	260	501	0
13010	276	474	291	501	0
13011	305	475	321	501	0
13012	336	474	350	501	0
13013	366	474	380	501	0
13014	396	474	410	501	0
13015	426	479	440	505	0
#Mario hàng 14
14001 	1	514	24	543	0
14002 	34	514	52	542	0
14003	65	516	80	540	0
14004	91	511	113	541	0
14005 	122	513	144	541	0	
14006	155	514	173	543	0
14007	185	513	202	542	0
14008	214	514	232	542	0
14009	245	513	262	542	0	
14010	275	513	292	542	0	
14011	303	514	325	542	0
14012	334	514	352	541	0
14013	366	516	381	538	0
14014	395 	514	412	542	0
14015	422	514	444	541	0
#Mario hàng 15
15001	2	555	22	581	0
15002	33	554	52	581	0
15003	65	554	81	581	0
15004	96	554	110	581	0
15005	125	555	141	581	0
15006	155	554	170	581	0
15007	180	553	206	582	0
15008	214	557	232	578	0
15009	240	553	266	582	0
15010	276	554	291	581	0
15011	305	555	321	581	0
15012	336	554	350	581	0
15013	365	554	381	581	0
15014	394	554	413	581	0
15015	424	555	443	581	0
#Mario hàng 16
16001	3	598	22	618	0
16002	32	598	53	618	0
16003	63	598	83	617	0
16004	93	597	113	618	0
16005	125	600	141	623	0
16006	155	598	171	622	0	
16007	185	594	201	621	0
16008	
16009	245	594	261	621	0
16010	275	598	291	622	0
16011	305	600	321	623	0	
16012	333	597	353	618	0
16013	363	598	383	617	0
16014	393	598	414	618	0
16015	424	598	443	618	0
#Mario hàng 17
17001	339 	348	355	378	120
17002	32	634	53	661	0
17003	61	634	84	662	0
17004	91	634	115	662	0
17005	53	350	76	377	120
17006	27	350	49	378	120
17007	1	350	22	378	120
17008	149	350	165	378	130
17009	500	350	521	378	130
17010	473	350	495	378	130
17011	446	350	469	378	130
17012	331	634	355	662	0
17013	362	634	385	662	0
17014	393	634	414	661	0
17015	167	348	183	378	130
17016	124	350	147	378	130
17017	105	350	121	378	130
17018	375	350	398	378	120
17019	357	350	373	378	120
17020	368	350	391	377	130
17021	343	350	365	378	130
17022	157	350	179	378	120
17023	131	350	154	377	120
#Mario hàng 18
18001	5	674	21	691	0
18002	32	678	53	697	0
18003	61	674	85	702	0
18004	91	674	115	701	0
18005	121	674	144	702	0
18006	151	674	174	702	0
18007	181	674	205	702	0
18008	215	674	231	702	0
18009	241	674	265	702	0
18010	272	674	295	702	0	
18011	302	674	325	702	0
18012	331	674	355	701	0
18013	361	674	385	702	0
18014	393	678	414	697	0
18015	425	674	441	701	0
#Mario hàng 19
19001	2	719	24	737	0
19002	79	360	101	378	120
19003	261	350	285	378	120
19004	287	350	311	377	120
19005	122	714	143	741	0
19006	152	714	174	742	0
19007	182	714	203	742	0
19008	215	713	231	742	0
19009	243	714	264	742	0
19010	272	714	294	742	0
19011	185	350	209	377	130
19012	211	350	235	377	130
19013	237	350	261	378	130
19014	421	360	443	378	130
19015	422 	719	444	737	0
#Mario hàng 20
20001	2 	754	24	782	0
20002	105	350	128	377	120	
20003	313	350	337	377	120
20004	95	754	112	782	0
20005	122	753	143	782	0
20006	155	754	171	782	0
20007	185	753	201	782	0
20008	215	754	231	782	0
20009	245	753	261	782	0
20010	275	754	291	782	0
20011	303	753	324	782	0
20012	335	754	351	782	0
20013	361	754	385	781	0
20014	394	350	417	377	130
20015	422	754	444	782	0
#Mario hàng 21
21001	0	794	25	821	0
21002	33	794	52	822	0
21003	61	794	84	822	0
21004	92	794	113	822	0
21005	53	384	76	411	120
21006	27	384	49	412	120
21007	182	794	204	822	0
21008	214	797	232	818	0
21009	242	794	264	822	0
21010	473	384	495	412	130
21011	446	384	469	411	130
21012	333	794	354	822	0
21013	362	794	385	822	0
21014	394	794	413	822	0
21015	421	794	446	821	0
#Mario hàng 22
22001	2	838	23	858	0
22002	32	838	55	858	0
22003	63	837	83	858	0
22004	93	837	113	859	0
22005	125	840	141	863	0
22006	155	838	171	862	0
22007	1	384	22	412	120
22008	
22009	500	384	521	412	130
22010	275	838	291	862	0
22011	305	840	321	863	0
22012	333	837	353	859	0
22013	363	837	383	859	0
22014	392	838	414	858	0
22015	423	838	444	858	0
#Mario hàng 23
23001
23002
23003
23004	92	874	114	902	0
23005	122	874	144	902	0
23006	152	874	174	902	0
23007	182	874	204	902	0
23008	
23009	242	874	264	902	0
23010	272	874	294	902	0
23011	302	874	324	902	0
23012	332	874	354	902	0
23013
23014
23015
#Mario hàng 24
24001	1 	916	25	939	0
24002	32	916	54	939	0
24003	62	916	84	939	0
24004	93	916	113	939	0
24005	123	913	142	942	0
24006	153	913	173	942	0
24007	183	916	203	940	0
24008	215	916	231	939	0
24009	243	916	263	940	0
24010	273	913	293	942	0
24011	304	913	323	942	0
24012	333	916	353	939	0
24013	362	916	382	939	0
24014	392	916	414	939	0
24015	421	916	445	939	0


#Gạch lẻ
50000	324	171	340	187	30

#Gạch bể
50001	273	154	289	171	30
500001	235	188	251	204	110


#Gạch nền nhỏ
50002	222	222	238	238	30
50003	239	222	255	238	30
50004	256	222	272	238	30

#Gạch nền bự trên
50005	9	10	23	25	40
50006	25	10	40	25	40
50007	42	10	57	25	40

#Gạch nền bự dưới
50008	9	27	23	41	40
50009	25	27	40	41	40
50010	42	27	57	41	40

#Gạch chấm hỏi
50011	300	117	316	133	20
50012	318	117	334	133	20
50013	336	117	352	133	20
50014	355	117	370	133	20
50100	372	117	388	133	20

#Vệt đen gạch
50015	103	77	111	93	30
50016	103	86	111	102	30
50017	103	103	111	111	30
50018	77	103	85	111	30
50019	86	103	102	111	30

#Gạch lẻ bự
50020	443	120	459	136	30
50021	460	120	476	136	30
50022	443	137	459	153	30
50023	460	137	476	153	30

#Bụi cây nhỏ
60000	222	205	238	221	30

#Bụi cây đầu
60001	138	1	153	17	30
60002	154	1	169	17	30
60003	137	18	153	34	30
60004	154	18	170	34	30
60005	137	35	153	51	30
60006	154	35	170	51	30
60007	137	52	153	68	30

#Bụi cây đen
60008	103	1	119	17	30
60009	120	1	136	17	30
60010	103	18	119	34	30
60011	120	18	136	34	30
60012	103	35	119	51	30
60013	120	35	136	51	30

#Flower red
#Left down
60014	7	33	23	65	100
#Left up
60015	7	71	23	103	100
#Right down
60016	625	33	641	65	100
#Right up
60017	625	71	641	103	100

#Flower green
#Left down
60018	6	166	22	190	100
#Left up
60019	6	195	22	219	100
#Right down
60020	626	166	642	190	100
#Right up
60021	626	195	642	219	100

#Flower Normal
60032	7	108	23	131	100

#Mushroom
#Red
60022	300	189	316	205	20
#Green
60023	318	189	334	205	20

#Leaf
60024	300	208	316	222	20

#GoombaPara Red
60025	538	35	558	59	100
60026	562	35	582	59	100
60027	528	70	544	86	100
60028	507	70	523	86	100
60029	487	77	503	86	100
60030	140	40	160	59	100
60031	116	40	136	59	100

#Đồng tiền
70000	303	99	313	115	20
70001	322	99	330	115	20
70002	341	99	347	115	20

#Mây mặt cười dưới
80000	222	188	238	204	30

#Mây mặt cười trên
80001	222	171	238	187	30

#Mây 1
80002	328	257	360	280	70

#Mây 2
80003	120	273	168	296	70

#Mây 3
80004	728	305	792	328	70

#Hộp trắng
90000	1	1	17	17	30
90001	18	1	34	17	30
90002	35	1	51	17	30
90003	1	18	17	34	30
90004	18	18	34	34	30
90005	35	18	51	34	30
90006	1	35	17	51	30
90007	18	35	34	51	30
90008	35	35	51	51	30

#Hộp đỏ
90009	1	52	17	68	30
90010	18	52	34	68	30
90011	35	52	51	68	30
90012	1	69	17	85	30
90013	18	69	34	85	30
90014	35	69	51	85	30
90015	1	86	17	102	30
90016	18	86	34	102	30
90017	35	86	51	102	30

#Hộp xanh dương
90018	52	52	68	68	30
90019	69	52	85	68	30
90020	86	52	102	68	30
90021	52	69	68	85	30
90022	69	69	85	85	30
90023	86	69	102	85	30
90024	52	86	68	102	30
90025	69	86	85	102	30
90026	86	86	102	102	30

#Hộp xanh lá
90027	52	1	68	17	30
90028	69	1	85	17	30
90029	86	1	102	17	30
90030	52	18	68	34	30
90031	69	18	85	34	30
90032	86	18	102	34	30
90033	52	35	68	51	30
90034	69	35	85	51	30
90035	86	35	102	51	30

#Ống cống dọc
90036 	324	52	340	68	30
90037	341	52	357	68	30
90038	325	69	340	85	30
90039	341	69	356	85	30

#Background đen răng cưa
90040	103	52	119	68	30
#Background đen 
90041	120	52	136	68	30

#Goomba
90042	5	14	21	30	10
90043	25	14	41	30	10
90044	45	21	61	30	10

#Fire right
90045	240	554	248	562	0
90046	258	553	266	562	0
90047	258	574	266	582	0
90048	240	573	248	582	0

#Fire left
90049	198	554	206	562	0
90050	180	553	188	562	0
90051	180	574	188	582	0
90052	198	573	206	582	0

#Shoot Right
90053	396	410	474	501	0
90054	366	474	380	501	0

#Shoot Left
90055	36	474	50	501	0
90056	66	474	80	501	0

#Koopa Right
90057	170	192	186	218	50
90058	187	191	203	218	50
#Koopa Left
90059	222	192	238	218	50
90060	205	191	221	218	50
#Mai koopa
90061	239	202	255	218	50
90062	256	202	272	218	50
90063	273	202	289	218	50
90064	290	202	306	218	50


#Koopa Green Left
90065	126	130	142	156	100
90066	105	129	121	156	100
#Koopa Right
90067	506	130	522	156	100
90068	527	129	543	156	100
#Koopa Green Left
90069	50	118	66	145	100
90070	31	119	47	145	100
#Koopa Right
90071	582	118	598	145	100
90072	601	119	617	145	100
#Mai koopa
90073	74	148	90	164	100
90074	53	148	69	164	100
90075	32	148	48	164	100
90076	53	148	69	164	100


#---HUD---
#Board
90100	11	127	165	157	90
#Item
90101	171	127	245	157	90
#icon MARIO					
90102	15	160	33	169	90
#icon Lugi					
90103	15	170	33	179	90
#White arrow					
90104	63	161	72	170	90
#White iconP					
90105	72	161	88	170	90
#Black arrow					
90106	90	161	99	170	90
#Black iconP					
90107	99	161	116	170	90
#empty card					
90108	159	158	183	189	90
#mushroom card					
90109	184	158	208	189	90
#fireflower card					
90110	209	157	233	189	90
#startman card					
90111	234	157	258	189	90
#font - 0					
90112	76	30	86	40	90
#font - 1					
90113	86	30	96	40	90
#font - 2					
90114	96	30	106	40	90
#font - 3					
90115	106	30	116	40	90
#font - 4					
90116	116	30	126	40	90
#font - 5					
90117	126	30	136	40	90
#font - 6					
90118	136	30	146	40	90
#font - 7					
90119	146	30	156	40	90
#font - 8					
90120	156	30	166	40	90
#font - 9					
90121	166	30	176	40	90
#font - A					
90122	176	30	186	40	90
#font - B					
90123	186	30	196	40	90
#font - C					
90124	76	40	86	50	90
#font - D					
90125	86	40	96	50	90
#font - E					
90126	96	40	106	50	90
#font - F					
90127	106	40	116	50	90
#font - G					
90128	116	40	126	50	90
#font - H					
90129	126	40	136	50	90
#font - I					
90130	136	40	146	50	90
#font - J					
90131	146	40	156	50	90
#font - K					
90132	156	40	166	50	90
#font - L					
90133	166	40	176	50	90
#font - M					
90134	176	40	186	50	90
#font - N					
90135	186	40	196	50	90
#font - O					
90136	76	50	86	60	90
#font - P					
90137	86	50	96	60	90
#font - Q					
90138	96	50	106	60	90
#font - R					
90139	106	50	116	60	90
#font - S					
90140	116	50	126	60	90
#font - T					
90141	126	50	136	60	90
#font - U					
90142	136	50	146	60	90
#font - V					
90143	146	50	156	60	90
#font - W					
90144	156	50	166	60	90
#font - X					
90145	166	50	176	60	90
#font - Y					
90146	176	50	186	60	90
#font - Z					
90147	186	50	196	60	90
## Đen đen					
90148	0	0	800	200	80



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

#Portal
#Gạch xanh
116	1016	100
#Cống đen
117	1017	100
118	1018	100
119	1019	100
120	1020	100
#background đen
121	1	100
#Big Drain
122	5008	100
#Fire Drain
123	11008	100
#Fox Drain
124	17008	100
#Small Drain
125	1008	100
# ==== MARIO =========
#idle BIG right
400	5009	100
#idle BIG left
401	5007	100
#idle small right
402	1009	100
#idle small left
403	1007	100
#walk right big
500	5009	100	5010	100	5011	100
#walk left big
501	5007	100	5006	100	5005	100
#walk right small
502	1009	100	1010	100	1011	100
#walk left small
503	1006	100	1005	100	1004	100
#fly right big
504	6009	100	6010	100	6011	100	6012	100	6013	100	6014	100
#fly left
505	6007	100	6006	100	6005	100	6004	100	6003	100	6002	100


#Ghost
700001	700001	100
700002	700002	100
700003	700003	100

# BIG run right
506	5009	25	5010	25	5011	25

# BIG run left
507	5007	25	5006	25	5005	25

# BIG Fly left

508	8002	10000
 
# BIG Fly right

509	8014	10000

#BIG Lấy đà phải
510	5001	100

#BIG Lấy đà trái
511	5015	100

# Small run right
512	1009	25	1010	25	1011	25

# Small run left
513	1006	25	1005	25	1004	25

# Small Fly right

514	3013	10000
 
# Small Fly left

515	3002	10000

#Small Lấy đà phải
516	1015	100

#Small Lấy đà trái
517	1001	100

# Fire run right
518	15010	25	15011	25	15012	25

# Fire run left
519	15006	25	15005	25	15004	25

# Fire Fly right

520	14014	10000
 
# Fire Fly left

521	14002	10000

#Fire Lấy đà phải
522	11015	100

#Fire Lấy đà trái
523	11001	100

#FOX Idle-Right
524	17009	100
#FOX Idle-Left
525	17007	100
#FOX Walk-Right
526	17009	100	17010	100	17011	100
#FOX Walk-Left
527	17007	100	17006	100	17005	100
#FOX Run-Right
528	17009	25	17010	25	17011	25
#FOX Run-Left
529	17007	25	17006	25	17005	25
#FOX Fly-Right
530	20014	100
#FOX Fly-Left
531	20002	100
#FOX Gear-Right
532	17015	100
#FOX Gear-Left
533	17001	100
#FOX Attack
534	17016	50	17019	50	17018	50	17017	50	17016	50

#BIG sit right
535	7015	100
#BIG sit left
536	7001	100
#FIRE sit right
537	13001	100
#FIRE sit left
538	13015	100
#FOX sit right
539	19014	100
#FOX sit left
540	19002	100
# Hold Koopas Right
541	10008	100
# Hold Koopas Left
542	10007	100
# Hold Koopas walk Right
543	9008	100	9009	100
# Hold Koopas walk Left
544	9006	100	9005	100


#Fly Right
545	19013	100	19012	100	19011	100	19012	100

#Fly Left
546	19003	100	19004	100	20003	100	19004	100

# LANDING right
547	17020	100	17021	100
# LANDING left
548	17022	100	17023	100

#FIRE Hold Koopas Right
549	16009	100
#FIRE Hold Koopas Left
550	16007	100
#FIRE Hold Koopas walk Right
551	15010	100	15011	100
#FIRE Hold Koopas walk Left
552	15006	100	15005	100

#FOX Hold Koopas Right
553	22009	100
#FOX Hold Koopas Left
554	22007	100
#FOX Hold Koopas walk Right
555	21010	100	21011	100
#FOX Hold Koopas walk Left
556	21006	100	21005	100

#SMALL Hold Koopas Right
557	4009	100
#SMALL Hold Koopas Left
558	4007	100
#SMALL Hold Koopas walk Right
559	4009	100	4010	100
#SMALL Hold Koopas walk Left
560	4007	100	4006	100


#die
599	4008	100

# ====FIRE MARIO =========
#idle right
600	11009	100
#idle left
601	11007	100
#walk right
602	15010	100	15011	100	15012	100
#walk left
603	15006	100	15005	100	15004	100
#fly right
604	12009	100	12010	100	12011	100	12012	100	12013	100	12014	100
#fly left
605	12007	100	12006	100	12005	100	12004	100	12003	100	12002	100

#Goomba
#walk
606	90043	100	90042	100
#die
607	90044	100

#GoompaPara
608	60030	100	60031	100	60025	100	60026	100
609	60027	100	60028	100
610	60029	100

#Gạch lẻ
5000	50000	100

#Gạch bể được
5001	50001	100
50001	500001	100

# Gạch nền nhỏ
5002	50002	100
5003	50003	100
5004	50004	100

#Gạch nên bự trên
5005	50005	100
5006	50006	100
5007	50007	100

#Gạch nền bự dưới
5008	50008	100
5009	50009	100
5010	50010	100

#Gạch chấm hỏi
5011	50011	1000	50012	100	50013	100	50014	100
5012	50100	100

#Vệt đen gạch
5015	50015	100
5016	50016	100
5017	50017	100
5018	50018	100
5019	50019	100

#Gạch lẻ bự
5020	50020	100
5021	50021	100
5022	50022	100
5023	50023	100
#P
5024	1021	100
5025	1022	100
#Gạch sau khi bể
5026	1023	100
#Gạch ani bể
5027	1024	100
#Card
5028	1025	100
5029	1026	100
5030	1027	100
#Chữ end
5031	1028	100
5032	1029	100
#Item end
5033	1030	100
5034	1031	100
5035	1032	100

#Bụi cây nhỏ
6000	60000	100

#Bụi cây đầu
6001	60001	100
6002	60002	100
6003	60003	100
6004	60004	100
6005	60005	100
6006	60006	100
6007	60007	100

#Bụi cây đen
6008	60008	100
6009	60009	100
6010	60010	100
6011	60011	100
6012	60012	100
6013	60013	100

#Flower
6014	60014	100
6015	60015	100
6016	60016	100
6017	60017	100
6018	60018	100
6019	60019	100
6020	60020	100
6021	60021	100
6030	60032	100

#Mushroom
6022	60022	100
6023	60023	100

#Leaf
6024	60024	100

#Đồng tiền
7000	70000	1000	70001	100	70002	100
7001	70000	100

# Mây cười dưới - trên
8000	80000	100
8001	80001	100

#Mây 1
8002	80002	100

#Mây 2
8003	80003	100

#Mây 3
8004	80004	100

#Hộp trắng
9000	90000	100
9001	90001	100
9002	90002	100
9003	90003	100
9004	90004	100
9005	90005	100
9006	90006	100
9007	90007	100
9008	90008	100

#Hộp đỏ
9009	90009	100
9010	90010	100
9011	90011	100
9012	90012	100
9013	90013	100
9014	90014	100
9015	90015	100
9016	90016	100
9017	90017	100


#Hộp xanh dương
9018	90018	100
9019	90019	100
9020	90020	100
9021	90021	100
9022	90022	100
9023	90023	100
9024	90024	100
9025	90025	100
9026	90026	100


#Hộp xanh lá
9027	90027	100
9028	90028	100
9029	90029	100
9030	90030	100
9031	90031	100
9032	90032	100
9033	90033	100
9034	90034	100
9035	90035	100

#Ống cống dọc
9036	90036	100
9037	90037	100
9038	90038	100
9039	90039	100

#Background đen răng cưa
9040	90040	100
#Background đen
9041	90041	100
#Fire right
9042	90045	100	90046	100	90047	100	90048	100
#Fire left
9043	90049	100	90050	100	90051	100	90052	100

#Shoot right
9053	90053	100	90054	100
#Shoot left
9054	90054	100	90056	100

#Koopa Right
9057	90057	100	90058	100

#Koopa Left
9058	90059	100	90060	100

#Quay mai rùa
9059	90061	100	90062	100	90063	100	90064	100

#Koopa DIE
9060	90061	100

#
#Koopa Right
9061	90067	100	90068	100

#Koopa Left
9062	90065	100	90066	100

#Koopa Right
9063	90071	100	90072	100

#Koopa Left
9064	90069	100	90070	100

#Quay mai rùa
9065	90073	100	90074	100	90075	100	90076	100

#Koopa DIE
9066	90073	100


#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599	600	601	602	603	604	605	9053	9054	506	507	508	509	510	511	512	513	514	515	516	517	518	519	520	521	522	523	524	525	526	527	528	529	530	531	532	533	534	535	536	537	538	539	540	541	542	543	544	545	546	547	548	549	550	551	552	553	554	555	556	557	558	559	560	122	123	124	125

#Portal	
#Ghost
700001	700001
700002	700002
700003	700003

#Gạch xanh
116	116

#cống đen
117	117
118	118
119	119
120	120

#background đen
121	121

# Koopa
3	9057	9058	9059	9060
5	9061	9062	9063	9064	9065	9066
# GOOMBA
2	606	607
4	608	609	610

#Gạch lẻ
5000	5000

#Gạch bể được
5001	5001	7001	

# Gạch nền dưới
5002	5002
5003	5003
5004	5004

#Gạch nên bự trên
5005	5005
5006	5006
5007	5007

#Gạch nền bự dưới
5008	5008
5009	5009
5010	5010

#Gạch chấm hỏi
5011	5011	5012	5001	5026
#Gạch ani bể
5012	5027
#P
5013	5024	5025


#Vệt đen gạch
5015	5015
5016	5016
5017	5017
5018	5018
5019	5019

#Gạch lẻ bự
5020	5020
5021	5021
5022	5022
5023	5023
#Card
5028	5028	5029	5030
#Chữ end
5029	5031
5030	5032	
#Item end
5031	5033
5032	5034
5033	5035

#Bụi cây nhỏ
6000	6000

#Bụi cây đầu
6001	6001
6002	6002
6003	6003
6004	6004
6005	6005
6006	6006
6007	6007

#Bụi cây đen
6008	6008
6009	6009
6010	6010
6011	6011
6012	6012
6013	6013

#Mushroom
6022	6022
6023	6023

#Leaf
6024	6024

#Đồng tiền
7000	7000
7001	7001

# Mây cười dưới - trên
8000	8000
8001	8001

#Mây 1
8002	8002

#Mây 2
8003	8003

#Mây 3
8004	8004

#Hộp trắng
9000	9000
9001	9001
9002	9002
9003	9003
9004	9004
9005	9005
9006	9006
9007	9007
9008	9008

#Hộp đỏ
9009	9009
9010	9010
9011	9011
9012	9012
9013	9013
9014	9014
9015	9015
9016	9016
9017	9017


#Hộp xanh dương
9018	9018
9019	9019
9020	9020
9021	9021
9022	9022
9023	9023
9024	9024
9025	9025
9026	9026


#Hộp xanh lá
9027	9027
9028	9028
9029	9029
9030	9030
9031	9031
9032	9032
9033	9033
9034	9034
9035	9035

#Ống cống dọc
9036	9036
9037	9037
9038	9038
9039	9039

#Background đen răng cưa
9040	9040

#Background đen
9041	9041


#Fire
9	9042	9043

#Flower Red Normal Green
